library_name,source_file,row_number,game,manufacturer,year,v1_slug,v2_inferred_naming,v3_practice_identity,opdb_id,library_entry_id,asset_playfield_local_legacy,asset_playfield_local_practice,v1_playfield_700_webp_name,v2_playfield_700_webp_name_inferred,v3_playfield_700_webp_name
RLM Amusements,RLM Amusements - Current.csv,19,Alien Poker,Williams,1980,williams--alien-poker--1980,williams--G4yen--1980,G4yen,G4yen-MD12Y,v--16470--G4yen,,/pinball/images/playfields/G4yen-playfield.jpg,williams--alien-poker--1980-playfield_700.webp,williams--G4yen--1980-playfield_700.webp,G4yen-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,11,Alien: Ellen Ripley Edition,PB,2022,pb--alien--2022,pb--G4PBO--2022,G4PBO,G4PBO-MyNeb,v--16470--G4PBO,,/pinball/images/playfields/G4PBO-playfield.jpg,pb--alien--2022-playfield_700.webp,pb--G4PBO--2022-playfield_700.webp,G4PBO-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,14,Baby Pac-Man,Midway,1982,midway--baby-pac-man--1982,midway--G5Kvx--1982,G5Kvx,G5Kvx-MQdpl,v--16470--G5Kvx,,/pinball/images/playfields/G5Kvx-playfield.jpeg,midway--baby-pac-man--1982-playfield_700.webp,midway--G5Kvx--1982-playfield_700.webp,G5Kvx-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,34,Black Knight: Sword of Rage,Stern,2019,stern--black-knight-sword-of-rage--2019,stern--GD7Ld--2019,GD7Ld,GD7Ld-ME0BP,v--16470--GD7Ld,,/pinball/images/playfields/GD7Ld-playfield.jpg,stern--black-knight-sword-of-rage--2019-playfield_700.webp,stern--GD7Ld--2019-playfield_700.webp,GD7Ld-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,26,Buck Rogers,Gottlieb,1980,gottlieb--buck-rogers--1980,gottlieb--GRKx7--1980,GRKx7,GRKx7-MJ49e,v--16470--GRKx7,,/pinball/images/playfields/GRKx7-playfield.jpg,gottlieb--buck-rogers--1980-playfield_700.webp,gottlieb--GRKx7--1980-playfield_700.webp,GRKx7-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,8,Deadpool,Stern,2018,stern--deadpool--2018,stern--G6lnq--2018,G6lnq,G6lnq-MRj7Z,v--16470--G6lnq,,/pinball/images/playfields/G6lnq-playfield.png,stern--deadpool--2018-playfield_700.webp,stern--G6lnq--2018-playfield_700.webp,G6lnq-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,5,Dune,BoF,2025,bof--dune--2025,bof--Gd266--2025,Gd266,Gd266-ME0l7,v--16470--Gd266,,/pinball/images/playfields/Gd266-playfield.jpg,bof--dune--2025-playfield_700.webp,bof--Gd266--2025-playfield_700.webp,Gd266-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,10,Evil Dead,Spooky,2024,spooky--evil-dead--2024,spooky--GYWvw--2024,GYWvw,GYWvw-MKNP4,v--16470--GYWvw,,/pinball/images/playfields/GYWvw-playfield.png,spooky--evil-dead--2024-playfield_700.webp,spooky--GYWvw--2024-playfield_700.webp,GYWvw-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,30,Excalibur,Gottlieb,1988,gottlieb--excalibur--1988,gottlieb--GrPbb--1988,GrPbb,GrPbb-MJZX6,v--16470--GrPbb,,/pinball/images/playfields/GrPbb-playfield.jpg,gottlieb--excalibur--1988-playfield_700.webp,gottlieb--GrPbb--1988-playfield_700.webp,GrPbb-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,9,Fast Draw,Gottlieb,1975,gottlieb--fast-draw--1975,gottlieb--GRVoX--1975,GRVoX,GRVoX-MLE7l,v--16470--GRVoX,,/pinball/images/playfields/GRVoX-playfield.jpg,gottlieb--fast-draw--1975-playfield_700.webp,gottlieb--GRVoX--1975-playfield_700.webp,GRVoX-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,32,Flash Gordon,Bally,1980,bally--flash-gordon--1980,bally--G5728--1980,G5728,G5728-MDbjD,v--16470--G5728,,/pinball/images/playfields/G5728-playfield.jpg,bally--flash-gordon--1980-playfield_700.webp,bally--G5728--1980-playfield_700.webp,G5728-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,33,Genesis,Gottlieb,1986,gottlieb--genesis--1986,gottlieb--Gr2wz--1986,Gr2wz,Gr2wz-MLBob,v--16470--Gr2wz,,/pinball/images/playfields/Gr2wz-playfield.jpg,gottlieb--genesis--1986-playfield_700.webp,gottlieb--Gr2wz--1986-playfield_700.webp,Gr2wz-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,31,Godzilla,Stern,2021,stern--godzilla--2021,stern--GweeP--2021,GweeP,GweeP-Ml9pZ,v--16470--GweeP,,/pinball/images/playfields/GweeP-playfield.jpg,stern--godzilla--2021-playfield_700.webp,stern--GweeP--2021-playfield_700.webp,GweeP-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,2,Harry Potter: Arcade Edition,JJP,2025,jjp--harry-potter--2025,jjp--GWyBj--2025,GWyBj,GWyBj-MdEbK,v--16470--GWyBj,,/pinball/images/playfields/GWyBj-playfield.webp,jjp--harry-potter--2025-playfield_700.webp,jjp--GWyBj--2025-playfield_700.webp,GWyBj-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,17,Indianapolis 500,Bally,1995,bally--indianapolis-500--1995,bally--Gr8l3--1995,Gr8l3,Gr8l3-MDWr0,v--16470--Gr8l3,,/pinball/images/playfields/Gr8l3-playfield.jpg,bally--indianapolis-500--1995-playfield_700.webp,bally--Gr8l3--1995-playfield_700.webp,Gr8l3-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,38,Iron Maiden,Stern,2018,stern--iron-maiden-legacy-of-the-beast--2018,stern--G4dOQ--2018,G4dOQ,G4dOQ-MyNbb,v--16470--G4dOQ,,/pinball/images/playfields/G4dOQ-playfield.png,stern--iron-maiden-legacy-of-the-beast--2018-playfield_700.webp,stern--G4dOQ--2018-playfield_700.webp,G4dOQ-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,22,James Bond 007,Stern,2022,stern--james-bond-007--2022,stern--GQKyP--2022,GQKyP,GQKyP-Mx0O4,v--16470--GQKyP,,/pinball/images/playfields/GQKyP-playfield.jpg,stern--james-bond-007--2022-playfield_700.webp,stern--GQKyP--2022-playfield_700.webp,GQKyP-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,6,Jaws,Stern,2024,stern--jaws--2024,stern--GLWll--2024,GLWll,GLWll-M1r8O,v--16470--GLWll,,/pinball/images/playfields/GLWll-playfield.jpg,stern--jaws--2024-playfield_700.webp,stern--GLWll--2024-playfield_700.webp,GLWll-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,35,Jurassic Park,Stern,2019,stern--jurassic-park-stern--2019,stern--GK17D--2019,GK17D,GK17D-MKNKd,v--16470--GK17D,,/pinball/images/playfields/GK17D-playfield.jpg,stern--jurassic-park-stern--2019-playfield_700.webp,stern--GK17D--2019-playfield_700.webp,GK17D-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,3,King Kong,Stern,2025,stern--king-kong-myth-of-terror-island--2025,stern--GEL0V--2025,GEL0V,GEL0V-MyN8E,v--16470--GEL0V,,/pinball/images/playfields/GEL0V-playfield.jpg,stern--king-kong-myth-of-terror-island--2025-playfield_700.webp,stern--GEL0V--2025-playfield_700.webp,GEL0V-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,37,Labyrinth,BoF,2023,bof--barrels-of-fun-labyrinth--2023,bof--GvBn8--2023,GvBn8,GvBn8-Mz291,v--16470--GvBn8,,/pinball/images/playfields/GvBn8-playfield.jpg,bof--barrels-of-fun-labyrinth--2023-playfield_700.webp,bof--GvBn8--2023-playfield_700.webp,GvBn8-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,16,Metallica Remastered,Stern,2024,stern--metallica-remastered--2024,stern--GO0q3--2024,GO0q3,GO0q3-MOEy8,v--16470--GO0q3,,/pinball/images/playfields/GO0q3-playfield.jpg,stern--metallica-remastered--2024-playfield_700.webp,stern--GO0q3--2024-playfield_700.webp,GO0q3-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,15,Nitro Ground Shaker,Bally,1980,bally--nitro-ground-shaker--1980,bally--GrP6q--1980,GrP6q,GrP6q-M5Rp1,v--16470--GrP6q,,/pinball/images/playfields/GrP6q-playfield.jpg,bally--nitro-ground-shaker--1980-playfield_700.webp,bally--GrP6q--1980-playfield_700.webp,GrP6q-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,24,Paragon,Bally,1979,bally--paragon--1979,bally--GrXy3--1979,GrXy3,GrXy3-ML0Ey,v--16470--GrXy3,,/pinball/images/playfields/GrXy3-playfield.jpg,bally--paragon--1979-playfield_700.webp,bally--GrXy3--1979-playfield_700.webp,GrXy3-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,18,Pulp Fiction,CGC,2024,cgc--pulp-fiction--2024,cgc--GoEkx--2024,GoEkx,GoEkx-MdEzN,v--16470--GoEkx,,/pinball/images/playfields/GoEkx-playfield.jpg,cgc--pulp-fiction--2024-playfield_700.webp,cgc--GoEkx--2024-playfield_700.webp,GoEkx-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,36,Robo-War,Gottlieb,1988,gottlieb--robo-war--1988,gottlieb--GryK3--1988,GryK3,GryK3-MQrWk,v--16470--GryK3,,/pinball/images/playfields/GryK3-playfield.webp,gottlieb--robo-war--1988-playfield_700.webp,gottlieb--GryK3--1988-playfield_700.webp,GryK3-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,4,Star Wars: Fall of the Empire,Stern,2025,stern--star-wars-fall-of-the-empire--2025,stern--Gxv81--2025,Gxv81,Gxv81-M610r,v--16470--Gxv81,,/pinball/images/playfields/Gxv81-playfield.jpg,stern--star-wars-fall-of-the-empire--2025-playfield_700.webp,stern--Gxv81--2025-playfield_700.webp,Gxv81-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,12,Tales from the Crypt,DE,1993,de--tales-from-the-crypt--1993,de--GR6wO--1993,GR6wO,GR6wO-MDvzk,v--16470--GR6wO,,/pinball/images/playfields/GR6wO-playfield.jpg,de--tales-from-the-crypt--1993-playfield_700.webp,de--GR6wO--1993-playfield_700.webp,GR6wO-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,21,The Getaway: High Speed II,Williams,1992,williams--the-getaway-high-speed-ii--1992,williams--Grx8Y--1992,Grx8Y,Grx8Y-MKNe9,v--16470--Grx8Y,,/pinball/images/playfields/Grx8Y-playfield.jpg,williams--the-getaway-high-speed-ii--1992-playfield_700.webp,williams--Grx8Y--1992-playfield_700.webp,Grx8Y-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,28,The Shadow,Midway,1994,midway--shadow--1994,midway--G4jPX--1994,G4jPX,G4jPX-M85YZ,v--16470--G4jPX,,/pinball/images/playfields/G4jPX-playfield.jpg,midway--shadow--1994-playfield_700.webp,midway--G4jPX--1994-playfield_700.webp,G4jPX-playfield_700.webp
RLM Amusements,RLM Amusements - Current.csv,23,The Uncanny X-Men,Stern,2024,stern--uncanny-x-men--2024,stern--G7ZEz--2024,G7ZEz,G7ZEz-MBRYn,v--16470--G7ZEz,,/pinball/images/playfields/G7ZEz-playfield.jpg,stern--uncanny-x-men--2024-playfield_700.webp,stern--G7ZEz--2024-playfield_700.webp,G7ZEz-playfield_700.webp
