library_name,game,manufacturer,year,v1_slug,v2_name_observed,v2_candidates,v3_practice_identity,opdb_id,v1_playfield_700_exists,v2_playfield_700_exists,v3_playfield_700_exists,v1_rulesheet_exists,v2_rulesheet_exists,v3_rulesheet_exists,v1_playfield_700_name,v2_playfield_700_name,v3_playfield_700_name,v1_rulesheet_name,v2_rulesheet_name,v3_rulesheet_name,asset_playfield_local_legacy,asset_playfield_local_practice,match_confidence
RLM Amusements,Alien Poker,Williams,1980,williams--alien-poker--1980,,,G4yen,G4yen-MD12Y,True,False,True,False,False,True,williams--alien-poker--1980-playfield_700.webp,,G4yen-playfield_700.webp,williams--alien-poker--1980-rulesheet.md,,G4yen-rulesheet.md,,/pinball/images/playfields/G4yen-playfield.jpg,missing
RLM Amusements,Alien: Ellen Ripley Edition,PB,2022,pb--alien--2022,,,G4PBO,G4PBO-MyNeb,True,False,True,False,False,True,pb--alien--2022-playfield_700.webp,,G4PBO-playfield_700.webp,pb--alien--2022-rulesheet.md,,G4PBO-rulesheet.md,,/pinball/images/playfields/G4PBO-playfield.jpg,missing
RLM Amusements,Baby Pac-Man,Midway,1982,midway--baby-pac-man--1982,,,G5Kvx,G5Kvx-MQdpl,True,False,True,False,False,True,midway--baby-pac-man--1982-playfield_700.webp,,G5Kvx-playfield_700.webp,midway--baby-pac-man--1982-rulesheet.md,,G5Kvx-rulesheet.md,,/pinball/images/playfields/G5Kvx-playfield.jpeg,missing
RLM Amusements,Black Knight: Sword of Rage,Stern,2019,stern--black-knight-sword-of-rage--2019,black-knight-sword-of-rage,black-knight-sword-of-rage,GD7Ld,GD7Ld-ME0BP,True,True,True,False,False,True,stern--black-knight-sword-of-rage--2019-playfield_700.webp,black-knight-sword-of-rage_700.webp,GD7Ld-playfield_700.webp,stern--black-knight-sword-of-rage--2019-rulesheet.md,black-knight-sword-of-rage-rulesheet.md,GD7Ld-rulesheet.md,,/pinball/images/playfields/GD7Ld-playfield.jpg,high
RLM Amusements,Buck Rogers,Gottlieb,1980,gottlieb--buck-rogers--1980,,,GRKx7,GRKx7-MJ49e,True,False,True,False,False,True,gottlieb--buck-rogers--1980-playfield_700.webp,,GRKx7-playfield_700.webp,gottlieb--buck-rogers--1980-rulesheet.md,,GRKx7-rulesheet.md,,/pinball/images/playfields/GRKx7-playfield.jpg,missing
RLM Amusements,Deadpool,Stern,2018,stern--deadpool--2018,deadpool,deadpool,G6lnq,G6lnq-MRj7Z,True,True,True,False,False,True,stern--deadpool--2018-playfield_700.webp,deadpool_700.webp,G6lnq-playfield_700.webp,stern--deadpool--2018-rulesheet.md,deadpool-rulesheet.md,G6lnq-rulesheet.md,,/pinball/images/playfields/G6lnq-playfield.png,high
RLM Amusements,Dune,BoF,2025,bof--dune--2025,,,Gd266,Gd266-ME0l7,True,False,True,False,False,True,bof--dune--2025-playfield_700.webp,,Gd266-playfield_700.webp,bof--dune--2025-rulesheet.md,,Gd266-rulesheet.md,,/pinball/images/playfields/Gd266-playfield.jpg,missing
RLM Amusements,Evil Dead,Spooky,2024,spooky--evil-dead--2024,,,GYWvw,GYWvw-MKNP4,True,False,True,False,False,True,spooky--evil-dead--2024-playfield_700.webp,,GYWvw-playfield_700.webp,spooky--evil-dead--2024-rulesheet.md,,GYWvw-rulesheet.md,,/pinball/images/playfields/GYWvw-playfield.png,missing
RLM Amusements,Excalibur,Gottlieb,1988,gottlieb--excalibur--1988,,,GrPbb,GrPbb-MJZX6,True,False,True,False,False,True,gottlieb--excalibur--1988-playfield_700.webp,,GrPbb-playfield_700.webp,gottlieb--excalibur--1988-rulesheet.md,,GrPbb-rulesheet.md,,/pinball/images/playfields/GrPbb-playfield.jpg,missing
RLM Amusements,Fast Draw,Gottlieb,1975,gottlieb--fast-draw--1975,,,GRVoX,GRVoX-MLE7l,True,False,True,False,False,True,gottlieb--fast-draw--1975-playfield_700.webp,,GRVoX-playfield_700.webp,gottlieb--fast-draw--1975-rulesheet.md,,GRVoX-rulesheet.md,,/pinball/images/playfields/GRVoX-playfield.jpg,missing
RLM Amusements,Flash Gordon,Bally,1980,bally--flash-gordon--1980,,,G5728,G5728-MDbjD,True,False,True,False,False,True,bally--flash-gordon--1980-playfield_700.webp,,G5728-playfield_700.webp,bally--flash-gordon--1980-rulesheet.md,,G5728-rulesheet.md,,/pinball/images/playfields/G5728-playfield.jpg,missing
RLM Amusements,Genesis,Gottlieb,1986,gottlieb--genesis--1986,,,Gr2wz,Gr2wz-MLBob,True,False,True,False,False,True,gottlieb--genesis--1986-playfield_700.webp,,Gr2wz-playfield_700.webp,gottlieb--genesis--1986-rulesheet.md,,Gr2wz-rulesheet.md,,/pinball/images/playfields/Gr2wz-playfield.jpg,missing
RLM Amusements,Godzilla,Stern,2021,stern--godzilla--2021,godzilla,godzilla | godzilla-le,GweeP,GweeP-Ml9pZ,True,True,True,False,False,True,stern--godzilla--2021-playfield_700.webp,godzilla_700.webp,GweeP-playfield_700.webp,stern--godzilla--2021-rulesheet.md,godzilla-rulesheet.md,GweeP-rulesheet.md,,/pinball/images/playfields/GweeP-playfield.jpg,high
RLM Amusements,Harry Potter: Arcade Edition,JJP,2025,jjp--harry-potter--2025,,,GWyBj,GWyBj-MdEbK,True,False,True,False,False,True,jjp--harry-potter--2025-playfield_700.webp,,GWyBj-playfield_700.webp,jjp--harry-potter--2025-rulesheet.md,,GWyBj-rulesheet.md,,/pinball/images/playfields/GWyBj-playfield.webp,missing
